UniqueName,Label,Story,SectionName,Width_mm,Depth_mm,Span_m,Mu_max_kNm,Mu_min_kNm,Vu_max_kN
82,B1,Ground,B230X450M20,230,450,2.750,7.526,0.000,13.088
83,B4,Ground,B230X450M20,230,450,5.180,31.829,0.000,26.917
84,B5,Ground,B230X450M20,230,450,4.150,21.861,0.000,22.307
85,B6,Ground,B230X450M20,230,450,3.300,22.244,0.000,28.983
86,B9,Ground,B230X450M20,230,450,2.910,16.952,0.000,25.301
87,B10,Ground,B230X450M20,230,450,4.580,60.868,-0.244,65.066
88,B11,Ground,B230X450M20,230,450,3.350,19.849,0.000,27.378
89,B12,Ground,B230X450M20,230,450,4.150,7.899,0.000,7.830
90,B13,Ground,B230X450M20,230,450,1.050,2.678,-51.366,70.274
91,B14,Ground,B230X450M20,230,450,1.050,8.131,-70.159,100.158
92,B15,Ground,B230X450M20,230,450,2.300,84.561,-134.127,98.235
93,B17,Ground,B230X450M20,230,450,4.580,91.476,-3.813,75.787
94,B18,Ground,B230X450M20,230,450,1.705,5.168,0.000,13.970
95,B19,Ground,B230X450M20,230,450,3.300,76.674,-17.567,57.785
96,B20,Ground,B230X450M20,230,450,4.580,131.004,-10.117,100.366
97,B21,Ground,B230X450M20,230,450,2.100,19.510,0.000,41.733
98,B22,Ground,B230X450M20,230,450,4.110,127.578,-14.058,106.579
99,B23,Ground,B230X450M20,230,450,2.910,30.962,-0.916,35.042
100,B25,Ground,B230X450M20,230,450,1.300,3.989,0.000,12.273
101,B31,Ground,B230X450M20,230,450,2.300,77.041,-141.637,94.026
102,B32,Ground,B230X450M20,230,450,4.110,37.668,0.000,37.715
103,B36,Ground,B230X450M20,230,450,2.100,24.605,0.000,46.866
13,B1,1,B230X450M20,230,450,2.750,77.758,-147.686,111.062
14,B4,1,B230X450M20,230,450,5.180,92.632,-9.834,210.960
15,B5,1,B230X450M20,230,450,4.150,51.823,-18.647,108.316
16,B6,1,B230X450M20,230,450,3.300,31.403,-13.519,85.481
17,B9,1,B230X450M20,230,450,2.910,34.877,-19.577,95.786
18,B10,1,B230X450M20,230,450,4.580,67.606,-5.085,105.455
19,B11,1,B230X450M20,230,450,3.350,62.507,-139.529,100.225
20,B8,1,B230X450M20,230,450,4.150,55.164,-44.675,100.944
21,B29,1,B230X450M20,230,450,1.950,11.088,-141.484,118.521
22,B28,1,B230X450M20,230,450,1.950,11.070,-140.160,120.063
23,B15,1,B230X450M20,230,450,2.300,71.764,-178.912,186.183
24,B17,1,B230X450M20,230,450,4.580,104.523,-1.230,136.317
25,B18,1,B230X450M20,230,450,1.705,28.751,-1.414,85.141
26,B19,1,B230X450M20,230,450,3.300,14.213,-18.949,48.451
27,B20,1,B230X450M20,230,450,4.580,80.994,-11.803,74.769
28,B21,1,B230X450M20,230,450,2.100,22.357,-6.776,73.434
29,B22,1,B230X450M20,230,450,4.110,86.347,-31.091,154.722
30,B23,1,B230X450M20,230,450,2.910,46.993,-26.087,84.166
31,B25,1,B230X450M20,230,450,1.300,9.650,-11.307,29.534
32,B31,1,B230X450M20,230,450,2.300,70.824,-176.720,137.727
33,B16,1,B230X450M20,230,450,4.110,52.993,-43.876,96.263
34,B24,1,B230X450M20,230,450,2.100,26.765,0.000,50.981
35,B2,1,B230X450M20,230,450,4.150,65.985,-55.962,151.634
36,B7,1,B230X450M20,230,450,4.150,43.016,-16.648,74.825
38,B33,1,B230X450M20,230,450,0.900,5.269,-40.714,65.697
40,B35,1,B230X450M20,230,450,0.900,5.731,-41.728,67.295
52,B1,5,B230X450M20,230,450,2.750,20.616,-78.334,65.431
53,B4,5,B230X450M20,230,450,5.180,94.796,-6.135,162.728
54,B5,5,B230X450M20,230,450,4.150,48.160,-1.963,52.682
55,B6,5,B230X450M20,230,450,3.300,28.499,-1.406,40.773
56,B9,5,B230X450M20,230,450,2.910,24.745,-1.139,43.873
57,B10,5,B230X450M20,230,450,4.580,67.090,-0.763,85.074
58,B11,5,B230X450M20,230,450,3.350,20.659,-82.441,67.847
59,B8,5,B230X450M20,230,450,4.150,42.760,-7.634,54.011
60,B29,5,B230X450M20,230,450,1.950,12.591,-139.729,114.434
61,B28,5,B230X450M20,230,450,1.950,12.596,-138.139,114.442
62,B15,5,B230X450M20,230,450,2.300,17.425,-108.371,87.581
63,B17,5,B230X450M20,230,450,4.580,107.341,-0.050,125.134
64,B18,5,B230X450M20,230,450,1.705,27.471,-0.575,79.068
65,B19,5,B230X450M20,230,450,3.300,12.879,-10.998,29.521
66,B20,5,B230X450M20,230,450,4.580,84.331,-5.462,75.613
67,B21,5,B230X450M20,230,450,2.100,21.365,-1.124,41.360
68,B22,5,B230X450M20,230,450,4.110,76.024,-1.973,75.332
69,B23,5,B230X450M20,230,450,2.910,36.559,-0.323,62.140
104,B25,5,B230X450M20,230,450,1.300,7.750,-6.278,21.325
105,B31,5,B230X450M20,230,450,2.300,17.683,-111.316,86.913
106,B16,5,B230X450M20,230,450,4.110,43.635,-6.846,60.167
107,B24,5,B230X450M20,230,450,2.100,26.765,0.000,50.981
108,B2,5,B230X450M20,230,450,4.150,58.406,-7.714,63.481
109,B7,5,B230X450M20,230,450,4.150,38.020,-1.817,38.502
110,B33,5,B230X450M20,230,450,0.900,1.347,-38.189,57.288
111,B35,5,B230X450M20,230,450,0.900,1.360,-38.446,57.763
124,B1,4,B230X450M20,230,450,2.750,38.684,-109.314,86.692
125,B4,4,B230X450M20,230,450,5.180,92.384,-8.214,191.741
126,B5,4,B230X450M20,230,450,4.150,46.906,-4.625,62.074
127,B6,4,B230X450M20,230,450,3.300,28.780,-3.377,52.756
128,B9,4,B230X450M20,230,450,2.910,24.575,-5.311,53.451
129,B10,4,B230X450M20,230,450,4.580,65.676,-1.684,91.569
130,B11,4,B230X450M20,230,450,3.350,36.415,-110.749,84.459
131,B8,4,B230X450M20,230,450,4.150,37.247,-22.242,56.883
132,B29,4,B230X450M20,230,450,1.950,10.848,-140.139,115.341
133,B28,4,B230X450M20,230,450,1.950,10.741,-138.345,115.012
134,B15,4,B230X450M20,230,450,2.300,33.964,-117.663,104.259
135,B17,4,B230X450M20,230,450,4.580,102.419,-0.069,126.478
136,B18,4,B230X450M20,230,450,1.705,26.046,-0.827,79.650
137,B19,4,B230X450M20,230,450,3.300,12.737,-12.374,32.797
138,B20,4,B230X450M20,230,450,4.580,79.654,-9.375,72.478
139,B21,4,B230X450M20,230,450,2.100,23.635,-2.379,54.945
140,B22,4,B230X450M20,230,450,4.110,70.126,-10.560,85.681
141,B23,4,B230X450M20,230,450,2.910,35.410,-9.174,57.880
142,B25,4,B230X450M20,230,450,1.300,8.421,-8.795,23.737
143,B31,4,B230X450M20,230,450,2.300,34.416,-122.205,97.364
144,B16,4,B230X450M20,230,450,4.110,37.543,-21.594,63.257
145,B24,4,B230X450M20,230,450,2.100,26.765,0.000,50.981
146,B2,4,B230X450M20,230,450,4.150,51.338,-22.917,75.144
147,B7,4,B230X450M20,230,450,4.150,35.375,-4.165,43.953
148,B33,4,B230X450M20,230,450,0.900,2.896,-35.920,56.131
149,B35,4,B230X450M20,230,450,0.900,2.958,-36.573,57.379
162,B1,3,B230X450M20,230,450,2.750,51.056,-126.864,97.722
163,B4,3,B230X450M20,230,450,5.180,92.819,-9.045,200.910
164,B5,3,B230X450M20,230,450,4.150,47.092,-8.625,75.563
165,B6,3,B230X450M20,230,450,3.300,28.569,-6.426,62.189
166,B9,3,B230X450M20,230,450,2.910,27.599,-9.353,65.978
167,B10,3,B230X450M20,230,450,4.580,65.764,-2.732,95.824
168,B11,3,B230X450M20,230,450,3.350,46.633,-124.385,91.890
169,B8,3,B230X450M20,230,450,4.150,41.577,-28.812,66.146
170,B29,3,B230X450M20,230,450,1.950,11.029,-140.320,115.314
171,B28,3,B230X450M20,230,450,1.950,10.993,-138.599,115.155
172,B15,3,B230X450M20,230,450,2.300,46.843,-140.066,131.893
173,B17,3,B230X450M20,230,450,4.580,103.611,-0.116,128.094
174,B18,3,B230X450M20,230,450,1.705,27.250,-1.031,80.493
175,B19,3,B230X450M20,230,450,3.300,13.366,-14.468,37.783
176,B20,3,B230X450M20,230,450,4.580,80.637,-10.736,73.555
177,B21,3,B230X450M20,230,450,2.100,23.125,-3.591,60.766
178,B22,3,B230X450M20,230,450,4.110,74.181,-16.759,106.560
179,B23,3,B230X450M20,230,450,2.910,39.131,-14.188,58.360
180,B25,3,B230X450M20,230,450,1.300,9.345,-9.920,26.333
181,B31,3,B230X450M20,230,450,2.300,47.015,-143.348,112.760
182,B16,3,B230X450M20,230,450,4.110,40.797,-27.968,71.867
183,B24,3,B230X450M20,230,450,2.100,26.765,0.000,50.981
184,B2,3,B230X450M20,230,450,4.150,52.585,-33.059,99.201
185,B7,3,B230X450M20,230,450,4.150,35.768,-7.753,53.257
186,B33,3,B230X450M20,230,450,0.900,3.889,-37.998,59.227
187,B35,3,B230X450M20,230,450,0.900,4.044,-38.703,60.720
200,B1,2,B230X450M20,230,450,2.750,64.039,-142.137,107.647
201,B4,2,B230X450M20,230,450,5.180,92.459,-9.683,209.316
202,B5,2,B230X450M20,230,450,4.150,46.966,-12.023,85.693
203,B6,2,B230X450M20,230,450,3.300,28.719,-9.057,70.158
204,B9,2,B230X450M20,230,450,2.910,29.913,-12.787,75.639
205,B10,2,B230X450M20,230,450,4.580,65.284,-3.670,100.188
206,B11,2,B230X450M20,230,450,3.350,55.729,-136.322,98.580
207,B8,2,B230X450M20,230,450,4.150,45.842,-35.889,81.494
208,B29,2,B230X450M20,230,450,1.950,10.770,-140.686,115.620
209,B28,2,B230X450M20,230,450,1.950,10.828,-138.996,116.036
210,B15,2,B230X450M20,230,450,2.300,58.343,-156.728,159.806
211,B17,2,B230X450M20,230,450,4.580,103.329,-0.294,132.134
212,B18,2,B230X450M20,230,450,1.705,27.736,-1.201,83.228
213,B19,2,B230X450M20,230,450,3.300,13.282,-16.312,42.173
214,B20,2,B230X450M20,230,450,4.580,80.186,-11.775,73.774
215,B21,2,B230X450M20,230,450,2.100,23.176,-4.768,67.316
216,B22,2,B230X450M20,230,450,4.110,77.963,-23.104,123.744
217,B23,2,B230X450M20,230,450,2.910,41.887,-19.166,67.344
218,B25,2,B230X450M20,230,450,1.300,9.513,-10.850,28.480
219,B31,2,B230X450M20,230,450,2.300,58.314,-159.054,124.835
220,B16,2,B230X450M20,230,450,4.110,44.864,-34.980,78.087
221,B24,2,B230X450M20,230,450,2.100,26.765,0.000,50.981
222,B2,2,B230X450M20,230,450,4.150,56.407,-43.240,118.506
223,B7,2,B230X450M20,230,450,4.150,37.770,-11.012,60.240
224,B33,2,B230X450M20,230,450,0.900,4.840,-39.401,61.550
225,B35,2,B230X450M20,230,450,0.900,5.077,-40.240,63.401
39,B2,Ground,B230X450M20,230,450,4.150,7.899,0.000,7.830
