BeamID,Story,b,D,Span,Cover,fck,fy,Mu,Vu,Ast_req,Asc_req,Stirrup_Dia,sv_start,sv_mid,sv_end,Status,Remarks
B1,Ground,300,500,4000,40,25,500,150,100,942,0,8,100,150,100,OK,Simply supported
B2,Ground,300,500,4000,40,25,500,180,120,1131,0,8,100,150,100,OK,Continuous end span
B3,Ground,350,600,5000,40,30,500,280,180,1571,314,10,100,150,100,OK,Heavy load
B4,First,300,500,4500,40,25,500,160,110,1005,0,8,100,150,100,OK,Typical interior
B5,First,300,450,3500,40,25,500,100,75,628,0,8,125,175,125,OK,Light load
B6,First,300,450,3500,40,25,500,120,85,754,0,8,100,150,100,OK,Corridor
B7,Second,300,500,4000,40,25,500,140,95,879,0,8,100,150,100,OK,Typical floor
B8,Second,250,400,3000,40,25,500,70,55,503,0,8,150,200,150,OK,Small span
B9,Second,350,600,5500,40,30,500,320,200,1885,377,10,75,125,75,OK,Large span
B10,Roof,250,400,3000,40,25,500,60,45,402,0,8,150,200,150,OK,Roof beam
B11,Roof,300,450,4000,40,25,500,90,70,565,0,8,125,175,125,OK,Roof edge
B12,Basement,400,700,6000,50,30,500,400,250,2513,503,12,75,100,75,OK,Basement main
